order_line_id,order_id,customer_id,order_date,product_id,product_category,quantity,line_revenue,line_cogs
OL0000064,ORD000024,C0001,2024-05-12,P010,Welding,45,3128.93,1958.92
OL0000065,ORD000024,C0001,2024-05-12,P008,Lubricants,32,3443.29,2155.73
OL0000066,ORD000025,C0001,2025-10-09,P006,Conveyors,28,6298.81,3602.80
OL0000067,ORD000025,C0001,2025-10-09,P005,Valves,39,4296.30,2457.40
OL0000068,ORD000025,C0001,2025-10-09,P001,Bearings,9,4337.53,2480.98
OL0000069,ORD000026,C0001,2025-08-22,P007,Safety,20,3153.90,2205.30
OL0000070,ORD000026,C0001,2025-08-22,P002,Pumps,46,3610.31,2524.44
OL0000071,ORD000026,C0001,2025-08-22,P010,Welding,45,2672.45,1868.66
OL0000072,ORD000026,C0001,2025-08-22,P004,Motors,3,3272.03,2287.90
OL0000073,ORD000027,C0001,2025-10-04,P009,Automation,48,2779.33,1975.14
OL0000074,ORD000027,C0001,2025-10-04,P007,Safety,21,3601.45,2559.38
OL0000075,ORD000028,C0001,2025-09-04,P010,Welding,4,17035.19,13496.41
OL0000076,ORD000029,C0001,2025-09-02,P004,Motors,35,2630.49,1658.82
OL0000077,ORD000029,C0001,2025-09-02,P009,Automation,49,2548.36,1607.03
OL0000078,ORD000029,C0001,2025-09-02,P009,Automation,34,2216.62,1397.83
OL0000079,ORD000029,C0001,2025-09-02,P010,Welding,41,1508.58,951.33
OL0000080,ORD000030,C0001,2025-11-26,P009,Automation,43,2507.11,1749.33
OL0000081,ORD000030,C0001,2025-11-26,P007,Safety,39,2380.20,1660.79
OL0000082,ORD000030,C0001,2025-11-26,P005,Valves,27,2463.69,1719.04
OL0000083,ORD000030,C0001,2025-11-26,P002,Pumps,19,2677.33,1868.10
OL0000084,ORD000031,C0001,2025-02-18,P007,Safety,41,2667.60,1690.40
OL0000085,ORD000031,C0001,2025-02-18,P008,Lubricants,8,2475.91,1568.93
OL0000086,ORD000031,C0001,2025-02-18,P005,Valves,22,2001.01,1268.00
OL0000087,ORD000031,C0001,2025-02-18,P009,Automation,13,1587.76,1006.13
OL0000088,ORD000031,C0001,2025-02-18,P005,Valves,30,2267.96,1437.16
OL0000089,ORD000032,C0001,2025-04-25,P002,Pumps,25,2371.13,1499.83
OL0000090,ORD000032,C0001,2025-04-25,P008,Lubricants,40,2424.41,1533.53
OL0000091,ORD000032,C0001,2025-04-25,P006,Conveyors,20,3011.03,1904.59
OL0000092,ORD000033,C0001,2025-11-05,P004,Motors,2,2827.71,2076.12
OL0000093,ORD000033,C0001,2025-11-05,P003,Fasteners,17,2914.97,2140.18
OL0000094,ORD000033,C0001,2025-11-05,P008,Lubricants,2,3959.88,2907.37
OL0000095,ORD000033,C0001,2025-11-05,P008,Lubricants,21,2294.74,1684.81
OL0000096,ORD000033,C0001,2025-11-05,P003,Fasteners,30,3611.34,2651.46
OL0000097,ORD000034,C0001,2025-08-25,P006,Conveyors,44,3037.52,2235.81
OL0000098,ORD000034,C0001,2025-08-25,P006,Conveyors,2,2890.51,2127.61
OL0000099,ORD000034,C0001,2025-08-25,P003,Fasteners,18,3719.03,2737.45
OL0000100,ORD000034,C0001,2025-08-25,P004,Motors,21,3415.89,2514.32
OL0000101,ORD000035,C0001,2025-11-09,P009,Automation,36,2033.39,1508.82
OL0000102,ORD000035,C0001,2025-11-09,P008,Lubricants,1,3219.84,2389.19
OL0000103,ORD000035,C0001,2025-11-09,P009,Automation,22,1967.61,1460.01
OL0000104,ORD000035,C0001,2025-11-09,P001,Bearings,16,3382.26,2509.72
OL0000105,ORD000035,C0001,2025-11-09,P008,Lubricants,38,3072.90,2280.16
OL0000106,ORD000036,C0001,2025-04-23,P008,Lubricants,24,2983.43,1984.73
OL0000107,ORD000036,C0001,2025-04-23,P008,Lubricants,31,3040.36,2022.60
OL0000108,ORD000036,C0001,2025-04-23,P006,Conveyors,13,2697.51,1794.51
OL0000109,ORD000036,C0001,2025-04-23,P004,Motors,42,3270.01,2175.38
OL0000110,ORD000036,C0001,2025-04-23,P007,Safety,26,2713.84,1805.38
OL0000111,ORD000037,C0001,2026-01-28,P004,Motors,25,3506.43,2107.84
OL0000112,ORD000037,C0001,2026-01-28,P009,Automation,16,2558.06,1537.74
OL0000113,ORD000037,C0001,2026-01-28,P004,Motors,12,3449.38,2073.54
OL0000114,ORD000037,C0001,2026-01-28,P004,Motors,8,3031.61,1822.40
OL0000115,ORD000037,C0001,2026-01-28,P005,Valves,29,4078.01,2451.43
OL0000116,ORD000038,C0001,2026-06-20,P009,Automation,19,3002.05,1853.40
OL0000117,ORD000038,C0001,2026-06-20,P002,Pumps,23,3308.52,2042.61
OL0000118,ORD000038,C0001,2026-06-20,P005,Valves,23,4047.17,2498.64
OL0000119,ORD000038,C0001,2026-06-20,P007,Safety,13,3086.34,1905.45
OL0000120,ORD000039,C0001,2026-06-06,P007,Safety,41,5120.73,3113.91
OL0000121,ORD000039,C0001,2026-06-06,P006,Conveyors,34,5525.23,3359.89
OL0000122,ORD000039,C0001,2026-06-06,P005,Valves,43,3637.84,2212.16
OL0000123,ORD000039,C0001,2026-06-06,P005,Valves,27,3822.76,2324.62
OL0000124,ORD000040,C0001,2026-08-24,P004,Motors,27,7992.37,6034.07
OL0000125,ORD000040,C0001,2026-08-24,P003,Fasteners,2,6884.37,5197.56
OL0000126,ORD000041,C0001,2026-04-06,P009,Automation,7,19420.16,14381.82
OL0000127,ORD000042,C0001,2026-08-26,P007,Safety,38,7240.52,4068.44
OL0000128,ORD000042,C0001,2026-08-26,P009,Automation,39,4901.17,2753.96
OL0000129,ORD000043,C0001,2026-06-15,P002,Pumps,25,5003.44,3919.40
OL0000130,ORD000043,C0001,2026-06-15,P009,Automation,31,4324.22,3387.35
OL0000131,ORD000043,C0001,2026-06-15,P004,Motors,47,5062.61,3965.75
OL0000132,ORD000043,C0001,2026-06-15,P009,Automation,44,3432.38,2688.73
OL0000133,ORD000044,C0001,2026-10-09,P004,Motors,18,3125.69,1775.63
OL0000134,ORD000044,C0001,2026-10-09,P007,Safety,9,4455.39,2531.01
OL0000135,ORD000044,C0001,2026-10-09,P006,Conveyors,14,4179.78,2374.44
OL0000136,ORD000045,C0001,2026-05-09,P006,Conveyors,34,17718.89,12982.50
OL0000137,ORD000046,C0001,2026-12-13,P002,Pumps,1,3900.60,2718.90
OL0000138,ORD000046,C0001,2026-12-13,P004,Motors,16,5384.68,3753.37
OL0000139,ORD000046,C0001,2026-12-13,P008,Lubricants,12,3551.33,2475.44
OL0000140,ORD000046,C0001,2026-12-13,P010,Welding,6,3964.03,2763.12
OL0000141,ORD000046,C0001,2026-12-13,P005,Valves,27,5138.57,3581.82
OL0000142,ORD000047,C0001,2026-04-18,P002,Pumps,35,5827.59,4353.50
OL0000143,ORD000047,C0001,2026-04-18,P002,Pumps,49,4081.35,3048.97
OL0000144,ORD000047,C0001,2026-04-18,P003,Fasteners,48,5705.22,4262.08
OL0000145,ORD000047,C0001,2026-04-18,P007,Safety,28,4449.57,3324.05
OL0000146,ORD000048,C0001,2026-06-13,P010,Welding,24,20533.18,12776.46
OL0000147,ORD000049,C0001,2026-11-08,P008,Lubricants,9,2782.16,1697.07
OL0000148,ORD000049,C0001,2026-11-08,P010,Welding,50,2639.31,1609.94
OL0000149,ORD000049,C0001,2026-11-08,P004,Motors,2,2345.38,1430.64
OL0000150,ORD000049,C0001,2026-11-08,P004,Motors,8,2867.66,1749.23
OL0000151,ORD000050,C0001,2026-04-03,P004,Motors,27,2379.32,1744.44
OL0000152,ORD000050,C0001,2026-04-03,P004,Motors,39,2793.80,2048.32
OL0000153,ORD000050,C0001,2026-04-03,P006,Conveyors,16,2928.52,2147.10
OL0000154,ORD000050,C0001,2026-04-03,P005,Valves,42,2836.18,2079.40
OL0000155,ORD000050,C0001,2026-04-03,P007,Safety,44,3467.49,2542.26
OL0000156,ORD000051,C0001,2026-02-11,P008,Lubricants,38,3978.88,2336.82
OL0000157,ORD000051,C0001,2026-02-11,P008,Lubricants,6,3421.49,2009.46
OL0000158,ORD000051,C0001,2026-02-11,P008,Lubricants,6,4475.24,2628.34
OL0000159,ORD000052,C0001,2026-05-12,P006,Conveyors,12,2382.56,1764.13
OL0000160,ORD000052,C0001,2026-05-12,P005,Valves,33,2517.38,1863.96
OL0000161,ORD000052,C0001,2026-05-12,P004,Motors,6,1519.74,1125.27
OL0000162,ORD000052,C0001,2026-05-12,P009,Automation,46,1626.49,1204.31
OL0000163,ORD000052,C0001,2026-05-12,P010,Welding,8,2597.32,1923.14
OL0000164,ORD000053,C0001,2026-09-21,P008,Lubricants,21,22952.00,13730.53
OL0000165,ORD000054,C0002,2024-12-02,P001,Bearings,18,2834.71,1748.38
OL0000166,ORD000054,C0002,2024-12-02,P007,Safety,40,3453.47,2130.01
OL0000167,ORD000054,C0002,2024-12-02,P007,Safety,50,4007.84,2471.93
OL0000168,ORD000055,C0002,2024-03-27,P006,Conveyors,34,1917.14,1153.23
OL0000169,ORD000055,C0002,2024-03-27,P003,Fasteners,5,1659.68,998.36
OL0000170,ORD000055,C0002,2024-03-27,P001,Bearings,22,2332.17,1402.89
OL0000171,ORD000055,C0002,2024-03-27,P003,Fasteners,37,1443.53,868.34
OL0000172,ORD000055,C0002,2024-03-27,P001,Bearings,40,1629.23,980.05
OL0000173,ORD000056,C0002,2024-08-22,P009,Automation,14,6355.12,4108.19
OL0000174,ORD000056,C0002,2024-08-22,P009,Automation,19,5113.44,3305.52
OL0000175,ORD000057,C0002,2024-04-16,P008,Lubricants,34,16434.69,10243.61
OL0000176,ORD000058,C0002,2024-02-13,P009,Automation,16,1621.00,1008.27
OL0000177,ORD000058,C0002,2024-02-13,P006,Conveyors,37,1408.27,875.95
OL0000178,ORD000058,C0002,2024-02-13,P003,Fasteners,43,2327.49,1447.71
OL0000179,ORD000059,C0002,2024-07-06,P006,Conveyors,9,2386.79,1476.45
OL0000180,ORD000059,C0002,2024-07-06,P010,Welding,36,1523.65,942.52
OL0000181,ORD000059,C0002,2024-07-06,P004,Motors,10,1766.77,1092.91
OL0000182,ORD000059,C0002,2024-07-06,P006,Conveyors,13,2372.34,1467.50
OL0000183,ORD000059,C0002,2024-07-06,P010,Welding,50,1459.44,902.80
OL0000184,ORD000060,C0002,2024-05-26,P004,Motors,46,4971.23,2808.87
OL0000185,ORD000061,C0002,2024-01-22,P007,Safety,20,14458.21,11379.89
OL0000186,ORD000062,C0002,2024-11-09,P007,Safety,50,4050.62,2920.03
OL0000187,ORD000062,C0002,2024-11-09,P001,Bearings,36,2927.19,2110.17
OL0000188,ORD000062,C0002,2024-11-09,P003,Fasteners,21,2904.17,2093.57
OL0000189,ORD000062,C0002,2024-11-09,P003,Fasteners,41,4052.34,2921.27
OL0000190,ORD000063,C0002,2024-04-24,P005,Valves,46,2636.33,1826.83
OL0000191,ORD000063,C0002,2024-04-24,P010,Welding,47,3376.64,2339.82
OL0000192,ORD000064,C0002,2024-02-06,P004,Motors,31,6829.24,4431.67
OL0000193,ORD000064,C0002,2024-02-06,P010,Welding,40,7904.79,5129.63
OL0000194,ORD000065,C0002,2024-05-02,P005,Valves,2,11314.57,6769.51
OL0000195,ORD000066,C0002,2025-01-06,P004,Motors,30,9188.78,5351.94
OL0000196,ORD000067,C0002,2025-10-18,P008,Lubricants,17,1511.82,1026.01
OL0000197,ORD000067,C0002,2025-10-18,P001,Bearings,20,2269.33,1540.10
OL0000198,ORD000067,C0002,2025-10-18,P005,Valves,49,2277.90,1545.92
OL0000199,ORD000067,C0002,2025-10-18,P007,Safety,40,1770.71,1201.71
OL0000200,ORD000067,C0002,2025-10-18,P004,Motors,33,2013.07,1366.19
OL0000201,ORD000068,C0002,2025-03-13,P006,Conveyors,37,3474.46,2456.31
OL0000202,ORD000068,C0002,2025-03-13,P010,Welding,17,3902.55,2758.95
OL0000203,ORD000068,C0002,2025-03-13,P010,Welding,13,2374.08,1678.38
OL0000204,ORD000069,C0002,2025-12-03,P009,Automation,39,1613.35,1240.91
OL0000205,ORD000069,C0002,2025-12-03,P001,Bearings,28,1416.38,1089.41
OL0000206,ORD000069,C0002,2025-12-03,P006,Conveyors,5,1673.91,1287.49
OL0000207,ORD000069,C0002,2025-12-03,P002,Pumps,11,1405.61,1081.13
OL0000208,ORD000069,C0002,2025-12-03,P007,Safety,7,1760.31,1353.95
OL0000209,ORD000070,C0002,2025-01-17,P009,Automation,30,1992.95,1485.41
OL0000210,ORD000070,C0002,2025-01-17,P010,Welding,28,1728.91,1288.62
OL0000211,ORD000070,C0002,2025-01-17,P006,Conveyors,47,2540.73,1893.69
OL0000212,ORD000070,C0002,2025-01-17,P006,Conveyors,47,1862.16,1387.93
OL0000213,ORD000070,C0002,2025-01-17,P009,Automation,30,1664.54,1240.63
OL0000214,ORD000071,C0002,2025-07-09,P004,Motors,33,3238.44,2415.98
OL0000215,ORD000071,C0002,2025-07-09,P008,Lubricants,9,1882.10,1404.11
OL0000216,ORD000072,C0002,2025-04-19,P009,Automation,10,1018.28,575.98
OL0000217,ORD000072,C0002,2025-04-19,P006,Conveyors,37,1207.01,682.72
OL0000218,ORD000072,C0002,2025-04-19,P003,Fasteners,7,1291.57,730.55
OL0000219,ORD000072,C0002,2025-04-19,P006,Conveyors,34,1670.74,945.02
OL0000220,ORD000073,C0002,2025-06-06,P003,Fasteners,5,8279.79,5197.26
OL0000221,ORD000074,C0002,2025-03-06,P006,Conveyors,8,7472.29,5742.32
OL0000222,ORD000075,C0002,2025-06-09,P004,Motors,47,1127.16,786.95
OL0000223,ORD000075,C0002,2025-06-09,P009,Automation,43,1044.90,729.52
OL0000224,ORD000075,C0002,2025-06-09,P006,Conveyors,28,1295.52,904.50
OL0000225,ORD000075,C0002,2025-06-09,P009,Automation,5,1317.24,919.67
OL0000226,ORD000076,C0002,2025-10-24,P004,Motors,47,1005.25,724.22
OL0000227,ORD000076,C0002,2025-10-24,P003,Fasteners,37,1340.58,965.80
OL0000228,ORD000076,C0002,2025-10-24,P002,Pumps,28,1573.27,1133.44
OL0000229,ORD000076,C0002,2025-10-24,P005,Valves,32,1647.00,1186.56
OL0000230,ORD000076,C0002,2025-10-24,P004,Motors,11,1004.17,723.44
OL0000231,ORD000077,C0002,2025-12-08,P003,Fasteners,1,1657.89,937.14
OL0000232,ORD000077,C0002,2025-12-08,P006,Conveyors,16,1484.51,839.14
OL0000233,ORD000077,C0002,2025-12-08,P010,Welding,12,1353.18,764.90
OL0000234,ORD000078,C0002,2025-01-06,P001,Bearings,47,691.22,479.08
OL0000235,ORD000078,C0002,2025-01-06,P003,Fasteners,37,661.72,458.64
OL0000236,ORD000078,C0002,2025-01-06,P002,Pumps,29,836.69,579.91
OL0000237,ORD000078,C0002,2025-01-06,P001,Bearings,43,907.71,629.13
OL0000238,ORD000078,C0002,2025-01-06,P002,Pumps,38,1010.04,700.06
OL0000239,ORD000079,C0002,2025-01-20,P008,Lubricants,43,6709.34,4988.89
OL0000240,ORD000080,C0002,2025-10-13,P009,Automation,18,2047.06,1498.22
OL0000241,ORD000080,C0002,2025-10-13,P006,Conveyors,48,1956.93,1432.25
OL0000242,ORD000080,C0002,2025-10-13,P003,Fasteners,44,2027.78,1484.10
OL0000243,ORD000080,C0002,2025-10-13,P005,Valves,44,2561.35,1874.61
OL0000244,ORD000080,C0002,2025-10-13,P010,Welding,28,2067.84,1513.42
OL0000245,ORD000081,C0002,2025-10-28,P002,Pumps,9,1928.00,1136.12
OL0000246,ORD000081,C0002,2025-10-28,P009,Automation,6,2278.86,1342.88
OL0000247,ORD000081,C0002,2025-10-28,P008,Lubricants,47,1610.93,949.28
OL0000248,ORD000081,C0002,2025-10-28,P006,Conveyors,30,1443.12,850.40
OL0000249,ORD000081,C0002,2025-10-28,P009,Automation,2,1949.89,1149.02
OL0000250,ORD000082,C0002,2025-06-18,P009,Automation,10,4186.31,2393.33
OL0000251,ORD000082,C0002,2025-06-18,P003,Fasteners,33,3537.28,2022.28
OL0000252,ORD000083,C0002,2025-09-18,P002,Pumps,22,1825.55,1066.47
OL0000253,ORD000083,C0002,2025-09-18,P005,Valves,41,2410.06,1407.94
OL0000254,ORD000083,C0002,2025-09-18,P001,Bearings,39,2292.18,1339.08
OL0000255,ORD000083,C0002,2025-09-18,P003,Fasteners,9,2687.63,1570.09
OL0000256,ORD000083,C0002,2025-09-18,P009,Automation,3,2520.33,1472.36
OL0000257,ORD000084,C0002,2025-12-18,P002,Pumps,25,6333.55,4503.57
OL0000258,ORD000085,C0002,2025-07-06,P002,Pumps,11,6601.28,4888.10
OL0000259,ORD000086,C0002,2025-11-22,P009,Automation,30,4486.28,2988.18
OL0000260,ORD000087,C0002,2025-10-21,P002,Pumps,36,1946.01,1556.69
OL0000261,ORD000087,C0002,2025-10-21,P009,Automation,38,1130.76,904.54
OL0000262,ORD000087,C0002,2025-10-21,P006,Conveyors,25,1781.04,1424.73
OL0000263,ORD000088,C0002,2026-02-05,P009,Automation,37,12945.75,8633.70
OL0000264,ORD000088,C0002,2026-02-05,P003,Fasteners,1,9733.40,6491.34
OL0000265,ORD000089,C0002,2026-07-13,P005,Valves,42,7904.10,6177.02
OL0000266,ORD000089,C0002,2026-07-13,P008,Lubricants,9,10675.28,8342.69
OL0000267,ORD000089,C0002,2026-07-13,P009,Automation,23,11651.95,9105.95
OL0000268,ORD000090,C0002,2026-10-13,P001,Bearings,34,24068.36,16581.89
OL0000269,ORD000090,C0002,2026-10-13,P008,Lubricants,45,27895.25,19218.43
OL0000270,ORD000091,C0002,2026-09-20,P009,Automation,39,9357.87,6087.54
OL0000271,ORD000091,C0002,2026-09-20,P007,Safety,24,12275.96,7985.84
OL0000272,ORD000091,C0002,2026-09-20,P002,Pumps,2,10631.27,6915.93
OL0000273,ORD000092,C0002,2026-02-26,P004,Motors,27,5047.12,3844.44
OL0000274,ORD000092,C0002,2026-02-26,P001,Bearings,18,7875.24,5998.65
OL0000275,ORD000092,C0002,2026-02-26,P005,Valves,8,6494.71,4947.08
OL0000276,ORD000093,C0002,2026-10-24,P010,Welding,39,14151.13,10893.06
OL0000277,ORD000093,C0002,2026-10-24,P004,Motors,20,9951.57,7660.38
OL0000278,ORD000093,C0002,2026-10-24,P004,Motors,31,10818.54,8327.74
OL0000279,ORD000093,C0002,2026-10-24,P008,Lubricants,2,10313.08,7938.66
OL0000280,ORD000094,C0003,2024-06-27,P008,Lubricants,9,2714.68,2098.07
OL0000281,ORD000094,C0003,2024-06-27,P007,Safety,3,2643.44,2043.01
OL0000282,ORD000094,C0003,2024-06-27,P006,Conveyors,44,1881.19,1453.90
OL0000283,ORD000094,C0003,2024-06-27,P001,Bearings,12,2746.68,2122.80
OL0000284,ORD000095,C0003,2024-12-06,P006,Conveyors,32,3133.78,2106.14
OL0000285,ORD000095,C0003,2024-12-06,P008,Lubricants,11,2727.30,1832.96
OL0000286,ORD000095,C0003,2024-12-06,P009,Automation,5,3014.56,2026.01
OL0000287,ORD000095,C0003,2024-12-06,P004,Motors,39,2694.06,1810.61
OL0000288,ORD000096,C0003,2024-04-05,P004,Motors,49,2601.53,1937.62
OL0000289,ORD000096,C0003,2024-04-05,P007,Safety,29,2321.46,1729.03
OL0000290,ORD000096,C0003,2024-04-05,P007,Safety,12,2530.20,1884.50
OL0000291,ORD000097,C0003,2024-11-19,P001,Bearings,19,1375.99,1100.42
OL0000292,ORD000097,C0003,2024-11-19,P001,Bearings,13,1803.02,1441.93
OL0000293,ORD000097,C0003,2024-11-19,P008,Lubricants,45,1423.93,1138.77
OL0000294,ORD000098,C0003,2024-08-26,P007,Safety,7,4550.53,3297.12
OL0000295,ORD000098,C0003,2024-08-26,P004,Motors,42,6374.14,4618.43
OL0000296,ORD000099,C0003,2024-02-14,P001,Bearings,23,2158.98,1381.86
OL0000297,ORD000099,C0003,2024-02-14,P010,Welding,24,2382.86,1525.15
OL0000298,ORD000099,C0003,2024-02-14,P001,Bearings,12,2039.01,1305.07
OL0000299,ORD000099,C0003,2024-02-14,P008,Lubricants,14,2571.79,1646.07
OL0000300,ORD000099,C0003,2024-02-14,P004,Motors,9,2503.86,1602.59
OL0000301,ORD000100,C0003,2024-01-05,P004,Motors,40,1932.20,1108.46
OL0000302,ORD000100,C0003,2024-01-05,P007,Safety,25,1773.86,1017.63
OL0000303,ORD000100,C0003,2024-01-05,P010,Welding,29,2365.34,1356.95
OL0000304,ORD000100,C0003,2024-01-05,P009,Automation,32,1684.64,966.44
OL0000305,ORD000100,C0003,2024-01-05,P004,Motors,50,2403.79,1379.00
OL0000306,ORD000101,C0003,2024-01-19,P007,Safety,33,8707.17,5869.33
OL0000307,ORD000102,C0003,2024-01-23,P010,Welding,46,9978.11,5622.44
OL0000308,ORD000103,C0003,2024-09-01,P005,Valves,9,1823.47,1318.83
OL0000309,ORD000103,C0003,2024-09-01,P004,Motors,5,1271.86,919.87
OL0000310,ORD000103,C0003,2024-09-01,P001,Bearings,43,1526.95,1104.37
OL0000311,ORD000103,C0003,2024-09-01,P006,Conveyors,17,1597.15,1155.14
OL0000312,ORD000103,C0003,2024-09-01,P007,Safety,25,1540.06,1113.85
OL0000313,ORD000104,C0003,2024-05-13,P010,Welding,1,2467.00,1380.28
OL0000314,ORD000104,C0003,2024-05-13,P001,Bearings,32,2760.41,1544.45
OL0000315,ORD000104,C0003,2024-05-13,P002,Pumps,26,2937.69,1643.64
OL0000316,ORD000104,C0003,2024-05-13,P004,Motors,47,3107.36,1738.56
OL0000317,ORD000105,C0003,2024-05-20,P002,Pumps,11,5559.78,4440.49
OL0000318,ORD000105,C0003,2024-05-20,P007,Safety,32,5540.77,4425.31
OL0000319,ORD000105,C0003,2024-05-20,P006,Conveyors,24,5111.00,4082.06
OL0000320,ORD000106,C0003,2024-02-02,P003,Fasteners,9,943.24,588.39
OL0000321,ORD000106,C0003,2024-02-02,P010,Welding,25,1354.28,844.79
OL0000322,ORD000106,C0003,2024-02-02,P003,Fasteners,14,1181.83,737.22
OL0000323,ORD000106,C0003,2024-02-02,P008,Lubricants,6,1418.38,884.78
OL0000324,ORD000106,C0003,2024-02-02,P004,Motors,1,1078.38,672.69
OL0000325,ORD000107,C0003,2024-10-05,P009,Automation,23,3452.33,1974.80
OL0000326,ORD000107,C0003,2024-10-05,P008,Lubricants,30,2801.77,1602.67
